,Jugador 1,Victorias 1,Jugador 2,Victorias 2,Profundidad 1,Profundidad 2,Ramificación máxima 1,Ramificación máxima 2,N.º Partidas,Tamaño del Tablero,Tiempo total,Tiempo medio por partida,Tiempo medio para mover 1,Tiempo medio para mover 2
0,Agente Aleatorio,"(17, '8.5%')",Agente Basado en Reglas,"(183, '91.5%')",0,0,0,0,200,2,0.08712935447692871,0.00043564677238464353,0.00012162804603576657,3.4721692403157555e-06
1,Agente Basado en Reglas,"(167, '83.5%')",Agente Aleatorio,"(33, '16.5%')",0,0,0,0,200,2,0.07071638107299805,0.00035358190536499023,3.29520304997762e-05,4.471004009246826e-05
2,Agente Aleatorio,"(14, '7.000000000000001%')",Agente Basado en Reglas,"(186, '93.0%')",0,0,0,0,200,5,4.677633285522461,0.023388166427612305,0.00038701324388477995,0.00046079309768446623
3,Agente Basado en Reglas,"(186, '93.0%')",Agente Aleatorio,"(14, '7.000000000000001%')",0,0,0,0,200,5,4.454700231552124,0.02227350115776062,0.00044000705626969915,0.00036880201523082224
4,Agente Aleatorio,"(2, '1.0%')",Agente Basado en Reglas,"(198, '99.0%')",0,0,0,0,200,10,248.81882548332214,1.2440941274166106,0.003043359615852742,0.005705548193668212
5,Agente Basado en Reglas,"(197, '98.5%')",Agente Aleatorio,"(3, '1.5%')",0,0,0,0,200,10,253.39434719085693,1.2669717359542847,0.005890491196834936,0.003029101482227439
