,Jugador 1,Victorias 1,Jugador 2,Victorias 2,Profundidad 1,Profundidad 2,Ramificación máxima 1,Ramificación máxima 2,N.º Partidas,Tamaño del Tablero,Tiempo total,Tiempo medio por partida,Tiempo medio para mover 1,Tiempo medio para mover 2
0,Agente Basado en Reglas,"(0, '0.0%')",Agente Alfa-Beta,"(200, '100.0%')",0,3,0,5,200,2,16.88288640975952,0.0844144320487976,4.909485578536987e-05,0.024198207855224606
1,Agente Alfa-Beta,"(200, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",3,0,5,0,200,2,20.494724988937378,0.10247362494468688,0.025575496554374695,5.2155256271362304e-05
2,Agente Basado en Reglas,"(44, '22.0%')",Agente Alfa-Beta,"(156, '78.0%')",0,3,0,22,200,3,3139.3251118659973,15.696625559329986,9.31828040925283e-05,2.1498155559514243
3,Agente Alfa-Beta,"(133, '66.5%')",Agente Basado en Reglas,"(67, '33.5%')",3,0,24,0,200,3,3774.322247505188,18.87161123752594,2.302742096051337,0.0001056658157280513
