,Jugador 1,Victorias 1,Jugador 2,Victorias 2,Profundidad 1,Profundidad 2,Ramificación máxima 1,Ramificación máxima 2,N.º Partidas,Tamaño del Tablero,Tiempo total,Tiempo medio por partida,Tiempo medio para mover 1,Tiempo medio para mover 2
0,Agente Basado en Reglas,"(0, '0.0%')",Agente Alfa-Beta,"(200, '100.0%')",0,2,0,5,200,2,8.426679611206055,0.04213339805603027,2.1993815898895264e-05,0.010472570955753326
1,Agente Alfa-Beta,"(200, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",2,0,5,0,200,2,9.451061010360718,0.04725530505180359,0.011721081733703613,6.089369455973309e-05
2,Agente Basado en Reglas,"(73, '36.5%')",Agente Alfa-Beta,"(127, '63.5%')",0,2,0,22,200,3,232.3131799697876,1.161565899848938,0.00011964900153023856,0.17432097400464713
3,Agente Alfa-Beta,"(173, '86.5%')",Agente Basado en Reglas,"(27, '13.5%')",2,0,22,0,200,3,284.3439290523529,1.4217196452617644,0.1944996975054816,0.00010039977374530974
