,Jugador 1,Victorias 1,Jugador 2,Victorias 2,Profundidad 1,Profundidad 2,Ramificación máxima 1,Ramificación máxima 2,N.º Partidas,Tamaño del Tablero,Tiempo total,Tiempo medio por partida,Tiempo medio para mover 1,Tiempo medio para mover 2
0,Agente Aleatorio,"(18, '9.0%')",Agente Alfa-Beta,"(182, '91.0%')",0,2,0,5,200,2,5.300150394439697,0.026500751972198488,9.061674276987713e-05,0.01086936990420024
1,Agente Alfa-Beta,"(181, '90.5%')",Agente Aleatorio,"(19, '9.5%')",2,0,5,0,200,2,6.965162992477417,0.03482581496238708,0.011346292694409682,6.735682487487793e-05
2,Agente Aleatorio,"(6, '3.0%')",Agente Alfa-Beta,"(194, '97.0%')",0,2,0,22,200,3,280.4785301685333,1.4023926508426667,0.00012109066049257912,0.19246395679220324
3,Agente Alfa-Beta,"(194, '97.0%')",Agente Aleatorio,"(6, '3.0%')",2,0,22,0,200,3,318.5919156074524,1.592959578037262,0.2055253963952973,0.00010694745088380477
