,Jugador 1,Victorias 1,Jugador 2,Victorias 2,Profundidad 1,Profundidad 2,Ramificación máxima 1,Ramificación máxima 2,N.º Partidas,Tamaño del Tablero,Tiempo total,Tiempo medio por partida,Tiempo medio para mover 1,Tiempo medio para mover 2
0,Agente Basado en Reglas,"(0, '0.0%')",Agente Alfa-Beta,"(1, '100.0%')",0,3,0,3,1,2,0.02199864387512207,0.02199864387512207,0.0,0.0073328812917073565
1,Agente Alfa-Beta,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",3,0,3,0,1,2,0.01999950408935547,0.01999950408935547,0.006333589553833008,0.0004993677139282227
2,Agente Basado en Reglas,"(0, '0.0%')",Agente Alfa-Beta,"(1, '100.0%')",0,3,0,15,1,3,11.654796123504639,11.654796123504639,0.0,1.4568495154380798
3,Agente Alfa-Beta,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",3,0,19,0,1,3,12.01500153541565,12.01500153541565,1.7162861483437675,0.00016641616821289062
