,Jugador 1,Victorias 1,Jugador 2,Victorias 2,Profundidad 1,Profundidad 2,Ramificación máxima 1,Ramificación máxima 2,N.º Partidas,Tamaño del Tablero,Tiempo total,Tiempo medio por partida,Tiempo medio para mover 1,Tiempo medio para mover 2
0,Agente Alfa-Beta,"(0, '0.0%')",Agente Alfa-Beta,"(1, '100.0%')",2,2,5,5,1,2,0.041989803314208984,0.041989803314208984,0.005746603012084961,0.004750847816467285
1,Agente Alfa-Beta,"(1, '100.0%')",Agente Alfa-Beta,"(0, '0.0%')",2,2,20,16,1,3,2.340027332305908,2.340027332305908,0.10171673695246379,0.1017660444433039
2,Agente Alfa-Beta,"(0, '0.0%')",Agente Alfa-Beta,"(1, '100.0%')",2,2,45,41,1,4,60.71430420875549,60.71430420875549,1.3834932161414104,1.2562151680821958
3,Agente Alfa-Beta,"(1, '100.0%')",Agente Alfa-Beta,"(0, '0.0%')",2,2,59,57,1,5,968.0719447135925,968.0719447135925,9.835842709541321,9.719996106867887
